Title,City,State,Group,Ideology,Headquarters,Statewide,Year
Nation of Islam,Decatur,Alabama,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Detroit,Michigan,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Durham,North Carolina,Nation of Islam,Black Separatist,,,2012
Nation Of Islam,East St. Louis,Illinois,,Black Separatist,,,2012
Nation of Islam,Flint,Michigan,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Fort Lauderdale,Florida,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Fort Worth,Texas,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Fresno,California,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Gary,Indiana,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Grand Rapids,Michigan,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Greensboro,North Carolina,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Greenville,North Carolina,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Harlem,New York,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Harrisburg,Pennsylvania,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Hartford,Connecticut,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Houston,Texas,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Huntsville,Alabama,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Indianapolis,Indiana,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Jackson,Mississippi,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Jacksonville,Florida,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Jersey City,New Jersey,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Joliet,Illinois,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Kankakee,Illinois,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Kansas City,Kansas,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Kansas City,Missouri,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Lansing,Michigan,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Las Vegas,Nevada,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Little Rock,Arkansas,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Long Beach,California,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Los Angeles,California,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Macon,Georgia,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Memphis,Tennessee,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Miami,Florida,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Milwaukee,Wisconsin,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Mobile,Alabama,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Nashville,Tennessee,Nation of Islam,Black Separatist,,,2012
Nation of Islam,New Haven,Connecticut,Nation of Islam,Black Separatist,,,2012
Nation of Islam,New Orleans,Louisiana,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Newark,New Jersey,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Norfolk,Virginia,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Oakland,California,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Oakland,California,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Oklahoma City,Oklahoma,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Omaha,Nebraska,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Orlando,Florida,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Paterson,New Jersey,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Pensacola,Florida,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Peoria,Illinois,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Philadelphia,Pennsylvania,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Phoenix,Arizona,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Pine Bluff,Arkansas,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Pittsburg,California,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Pittsburgh,Pennsylvania,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Plainfield,New Jersey,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Portland,Oregon,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Raleigh,North Carolina,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Richmond,California,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Richmond,Virginia,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Rockford,Illinois,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Sacramento,California,Nation of Islam,Black Separatist,,,2012
Nation of Islam,San Diego,California,Nation of Islam,Black Separatist,,,2012
Nation of Islam,San Francisco,California,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Seattle,Washington,Nation of Islam,Black Separatist,,,2012
Nation of Islam,South Bend,Indiana,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Southaven,Mississippi,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Springfield,Massachusetts,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Springfield,Ohio,Nation of Islam,Black Separatist,,,2012
Nation of Islam,St. Louis,Missouri,Nation of Islam,Black Separatist,,,2012
Nation of Islam,St. Petersburg,Florida,Nation of Islam,Black Separatist,,,2012
Nation Of Islam,Stockton,California,,Black Separatist,,,2012
Nation of Islam,Tampa,Florida,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Trenton,New Jersey,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Tyler,Texas,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Washington,District of Columbia,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Waycross,Georgia,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Wilmington,Delaware,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Winston-Salem,North Carolina,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Youngstown,Ohio,Nation of Islam,Black Separatist,,,2012
Nation of Islam,Chicago,Illinois,Nation of Islam,Black Separatist,,,2012
National Alliance,Cincinnati,Ohio,National Alliance,Neo-Nazi,,,2012
National Alliance,Las Vegas,Nevada,National Alliance,Neo-Nazi,,,2012
National Alliance,Los Angeles,California,National Alliance,Neo-Nazi,,,2012
National Alliance,Parma,Ohio,National Alliance,Neo-Nazi,,,2012
National Alliance,Raleigh,North Carolina,National Alliance,Neo-Nazi,,,2012
National Alliance,Sacramento,California,National Alliance,Neo-Nazi,,,2012
National Alliance,Hillsboro,West Virginia,National Alliance,Neo-Nazi,,,2012
National Black Foot Soldier Network,Detroit,Michigan,,Black Separatist,,,2012
National Black Foot Soldier Network,Knoxville,Tennessee,,Black Separatist,,,2012
National Black Foot Soldier Network,Seattle,Washington,,Black Separatist,,,2012
National Black Foot Soldier Network,,South Carolina,,Black Separatist,,Yes,2012
National Black Foot Soldier Network,Belle Glade,Florida,,Black Separatist,,,2012
National Policy Institute,Whitefish,Montana,,White Nationalist,,,2012
National Prayer Network,Clackamas,Oregon,,General Hate,,,2012
National Socialist American Labor Party,New Castle,Maine,,Neo-Nazi,,,2012
National Socialist American Labor Party,Toledo,Ohio,,Neo-Nazi,,,2012
National Socialist American Labor Party,,New York,,Neo-Nazi,,Yes,2012
National Socialist American Labor Party,,Idaho,,Neo-Nazi,,Yes,2012
National Socialist American Labor Party,,Texas,,Neo-Nazi,,Yes,2012
National Socialist American Labor Party,,Washington,,Neo-Nazi,,Yes,2012
National Socialist American Labor Party,,Florida,,Neo-Nazi,,Yes,2012
National Socialist American Labor Party,,Georgia,,Neo-Nazi,,Yes,2012
National Socialist American Labor Party,Burbank,California,,Neo-Nazi,,,2012
National Socialist Aryan Order,Davison,Michigan,,Neo-Nazi,,,2012
National Socialist Freedom Movement,,Delaware,,Neo-Nazi,,Yes,2012
National Socialist Freedom Movement,,Pennsylvania,,Neo-Nazi,,Yes,2012
National Socialist Freedom Movement,,California,,Neo-Nazi,,Yes,2012
National Socialist Freedom Movement,,South Carolina,,Neo-Nazi,,Yes,2012
National Socialist Freedom Movement,,Florida,,Neo-Nazi,,Yes,2012
National Socialist Freedom Movement,Tulsa,Oklahoma,,Neo-Nazi,,,2012
National Socialist German Workers Party,Lincoln,Nebraska,,Neo-Nazi,,,2012
National Socialist Movement,Bayonne,New Jersey,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Browns Mills,New Jersey,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Central New Jersey,New Jersey,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Central Tennessee,Tennessee,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Charleston,South Carolina,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Chicago,Illinois,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Clifton,New Jersey,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,East Pennsylvania,Pennsylvania,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Elkridge,Maryland,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Greenville,South Carolina,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Holland Township,New Jersey,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Las Vegas,Nevada,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Lehigh Valley,Pennsylvania,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Mobile,Alabama,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,New Berlin,Wisconsin,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,North Georgia,Georgia,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Phoenix,Arizona,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Riverside,California,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,San Diego,California,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,San Francisco,California,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,South Georgia,Georgia,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Springfield,Missouri,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Tampa Bay,Florida,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Vancouver,Washington,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,Wakarusa,Indiana,National Socialist Movement,Neo-Nazi,,,2012
National Socialist Movement,,Idaho,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Montana,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Tennessee,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Ohio,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Florida,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Louisiana,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Maine,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Massachusetts,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,New Jersey,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Nebraska,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,New York,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Connecticut,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,South Carolina,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Delaware,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,New Hampshire,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Virginia,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Oregon,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Kentucky,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Kentucky,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Rhode Island,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,North Carolina,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Texas,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,South Dakota,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Vermont,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Mississippi,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Wyoming,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Utah,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,Minnesota,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,,West Virginia,National Socialist Movement,Neo-Nazi,,Yes,2012
National Socialist Movement,Detroit,Michigan,National Socialist Movement,Neo-Nazi,,,2012
National Vanguard Books,Hillsboro,West Virginia,,General Hate,,,2012
Nationalist Coalition,St. Petersburg,Florida,,Neo-Nazi,,,2012
Nationalist Movement,Learned,Mississippi,,White Nationalist,,,2012
New Black Panther Party,Dallas,Texas,New Black Panther Party,Black Separatist,,,2012
New Black Panther Party,Houston,Texas,New Black Panther Party,Black Separatist,,,2012
New Black Panther Party,Jacksonville,Florida,New Black Panther Party,Black Separatist,,,2012
New Black Panther Party,Los Angeles,California,New Black Panther Party,Black Separatist,,,2012
New Black Panther Party,Philadelphia,Pennsylvania,New Black Panther Party,Black Separatist,,,2012
New Black Panther Party,Tampa & (St. Petersburg),Florida,New Black Panther Party,Black Separatist,,,2012
New Black Panther Party,,Arkansas,New Black Panther Party,Black Separatist,,Yes,2012
New Black Panther Party,Washington,District of Columbia,New Black Panther Party,Black Separatist,,,2012
New Century Productions - A Conversation About Race,Littleton,Colorado,,White Nationalist,,,2012
New Order,Milwaukee,Wisconsin,,Neo-Nazi,,,2012
New Yorkers for Immigration Control and Enforcement (NYICE),New York,New York,,Anti-Immigrant,,,2012
Non-Universal Teaching Ministries/Christogenea,Fostoria,Ohio,,Christian Identity,,,2012
Noontide Press,Newport Beach,California,,Holocaust Denial,,,2012
North Louisiana White Knights of the KKK,West Monroe,Louisiana,,Ku Klux Klan,,,2012
Northern Hammerskins,Chicago,Illinois,,Racist Skinhead,,,2012
Northern Hammerskins,Detroit,Michigan,,Racist Skinhead,,,2012
Northern Hammerskins,Milwaukee,Wisconsin,,Racist Skinhead,,,2012
Northwest Front,Seattle,Washington,,White Nationalist,,,2012
Northwest Hammerskins,,Washington,,Racist Skinhead,,Yes,2012
Northwest Hammerskins,,Idaho,,Racist Skinhead,,Yes,2012
NPI TV,Brooklyn,New York,,White Nationalist,,,2012
NS Publications,Wyandotte,Michigan,,Neo-Nazi,,,2012
Occidental Dissent,Birmingham,Alabama,,White Nationalist,,,2012
Occidental Quarterly/Charles Martel Society,Atlanta,Georgia,Occidental Quarterly,White Nationalist,,,2012
Official Street Preachers,Los Angeles,California,,General Hate,,,2012
OMNI Christian Book Club,Palmdale,California,,Radical Traditional Catholicism,,,2012
Orange County Skins,,California,,Racist Skinhead,,Yes,2012
Original Knight Riders Knights of the KKK,,Virginia,,Ku Klux Klan,,Yes,2012
Original Knight Riders Knights of the KKK,Beckley,West Virginia,,Ku Klux Klan,,,2012
Original Knight Riders Knights of the KKK,Moyock,North Carolina,,Ku Klux Klan,,,2012
Original Knights of America Knights of the KKK,Florence,Mississippi,,Ku Klux Klan,,,2012
Original Knights of America Knights of the KKK,Long Beach,Mississippi,,Ku Klux Klan,,,2012
Original Knights of America Knights of the KKK,Raleigh,Mississippi,,Ku Klux Klan,,,2012
Original Knights of America Knights of the KKK,Steens,Mississippi,,Ku Klux Klan,,,2012
Original Knights of America Knights of the KKK,Philadelphia,Mississippi,,Ku Klux Klan,,,2012
Original North Phoenix Tea Party,North Phoenix,Arizona,,General Hate,,,2012
Ozark Craft LC,Harrison,Arkansas,,General Hate,,,2012
Pace Confederate Depot,Baldwyn,Mississippi,,Neo-Confederate,,,2012
Pacifica Forum,Eugene,Oregon,,White Nationalist,,,2012
Parents Action League,Champlin,Minnesota,,Anti-LGBTQ,,,2012
Patriotic Flags,Summerville,South Carolina,,White Nationalist,,,2012
Pilgrims Covenant Church,Monroe,Wisconsin,,Anti-LGBTQ,,,2012
Pioneer Fund,New York,New York,,White Nationalist,,,2012
Pioneer Little Europe Kalispell Montana,Kalispell,Montana,,White Nationalist,,,2012
Poker Face,Allentown,Pennsylvania,,Hate Music,,,2012
The Political Cesspool,Bartlett,Tennessee,,White Nationalist,,,2012
Political Islam,Nashville,Tennessee,,Anti-Muslim,,,2012
Power of Prophecy,Austin,Texas,,General Hate,,,2012
Prophet of Doom,St. Louis,Missouri,,Anti-Muslim,,,2012
Protestant White Nationalist Party of Kentucky/Uncreated Light,Louisville,Kentucky,,White Nationalist,,,2012
Providence Road Baptist Church,Maiden,North Carolina,,Anti-LGBTQ,,,2012
Public Advocate of the United States,Falls Church,Virginia,,Anti-LGBTQ,,,2012
Racial Nationalist Party of America,Lockport,New York,,White Nationalist,,,2012
Radio Jihad/Global Patriot Radio,,New York,,Anti-Muslim,,Yes,2012
Rebel Brigade Knights of the KKK,Honesdale,Pennsylvania,,Ku Klux Klan,,,2012
Rebel Brigade Knights of the KKK,Martinsville,Virginia,,Ku Klux Klan,,,2012
The Redneck Shop,Laurens,South Carolina,,General Hate,,,2012
Reformation-Bible Puritan-Baptist Church/Vatican Assassins,Newmanstown,Pennsylvania,,General Hate,,,2012
The Remnant,Forest Lake,Minnesota,,Radical Traditional Catholicism,,,2012
Representative Government Education Foundation,Lexington,Virginia,,White Nationalist,,,2012
Resistance Records,Hillsboro,West Virginia,,Hate Music,,,2012
Revolutionary Order of the Aryan Republic,Chattanooga,Tennessee,,Neo-Nazi,,,2012
Sacto Skinheads,Sacramento,California,,Racist Skinhead,,,2012
Samanta Roy Institute of Science and Technology,Shawano,Wisconsin,,General Hate,,,2012
Save California,Sacramento,California,,Anti-LGBTQ,,,2012
Scott-Townsend Publishers,"Washington, D. C.",District of Columbia,,White Nationalist,,,2012
Scriptures for America Worldwide Ministries,Laporte,Colorado,,Christian Identity,,,2012
Sharia Awareness Action Network,Washington D.C.,District of Columbia,,Anti-Muslim,,,2012
The Shepherd's Call Ministries,New Tazewell,Tennessee,,Christian Identity,,,2012
Silver Bullet Gun Oil,Courtland,Virginia,,Anti-Muslim,,,2012
Slaves of the Immaculate Heart of Mary,Richmond,New Hampshire,,Radical Traditional Catholicism,,,2012
The Social Contract Press,Petoskey,Michigan,,White Nationalist,,,2012
Society for the Practical Establishment and Perpetuation of the Ten Commandments,Eatonton,Georgia,,General Hate,,,2012
Sons of Aesir Motorcycle Club,,Arizona,,General Hate,,Yes,2012
Faith Baptist Church (formerly Sons of Thundr),Luthersville,Georgia,,Anti-LGBTQ,,,2012
South Africa Project,Los Angeles,California,,White Nationalist,,,2012
South Africa Project,Sacramento,California,,White Nationalist,,,2012
South Africa Project,unkn,Florida,,White Nationalist,,,2012
South Africa Project,,Tennessee,,White Nationalist,,Yes,2012
South Africa Project,,Ohio,,White Nationalist,,Yes,2012
South Africa Project,,Maryland,,White Nationalist,,Yes,2012
South Africa Project,,Pennsylvania,,White Nationalist,,Yes,2012
South Africa Project,,Idaho,,White Nationalist,,Yes,2012
South Africa Project,,New Hampshire,,White Nationalist,,Yes,2012
South Africa Project,,Connecticut,,White Nationalist,,Yes,2012
South Africa Project,,New York,,White Nationalist,,Yes,2012
South Africa Project,,Arkansas,,White Nationalist,,Yes,2012
South Africa Project,Converse,Louisiana,,White Nationalist,,,2012
Southern European Aryans League Army,Muncie,Indiana,,White Nationalist,,,2012
Southern Kalvary Knights of the KKK,,Wisconsin,,Ku Klux Klan,,Yes,2012
Southern Kalvary Knights of the KKK,,Arkansas,,Ku Klux Klan,,Yes,2012
Southern Kalvary Knights of the KKK,,Indiana,,Ku Klux Klan,,Yes,2012
Southern Kalvary Knights of the KKK,,Ohio,,Ku Klux Klan,,Yes,2012
Southern Kalvary Knights of the KKK,Big Sandy,Texas,,Ku Klux Klan,,,2012
SS Regalia,Edgewater,Maryland,,Neo-Nazi,,,2012
St. Michael's Parish/Mount St. Michael,Spokane,Washington,,Radical Traditional Catholicism,,,2012
Stop the Islamization of America (SIOA),New York,New York,,Anti-Muslim,,,2012
Stop the Islamization of Nations (SION),New York,New York,,Anti-Muslim,,,2012
Stormfront Arizona,,Arizona,,White Nationalist,,Yes,2012
Stormfront,West Palm Beach,Florida,Stormfront,White Nationalist,,,2012
Sultan Knish a blog by Daniel Greenfield,New York,New York,,Anti-Muslim,,,2012
Supreme White Alliance,Chicago,Illinois,,Racist Skinhead,,,2012
Supreme White Alliance,Farmington,New Mexico,,Racist Skinhead,,,2012
Supreme White Alliance,Phoenix,Arizona,,Racist Skinhead,,,2012
Supreme White Alliance,San Angelo,Texas,,Racist Skinhead,,,2012
Supreme White Alliance,,Iowa,,Racist Skinhead,,Yes,2012
Supreme White Alliance,,Missouri,,Racist Skinhead,,Yes,2012
Supreme White Alliance,,Minnesota,,Racist Skinhead,,Yes,2012
Supreme White Alliance,,New Jersey,,Racist Skinhead,,Yes,2012
Supreme White Alliance,,Wisconsin,,Racist Skinhead,,Yes,2012
Supreme White Alliance,,Ohio,,Racist Skinhead,,Yes,2012
Tabernacle of the Phineas Priesthood - Aryan Nations,Malvern,Iowa,,Neo-Nazi,,,2012
TC Family (Traverse City Family),Traverse City,Michigan,,Anti-LGBTQ,,,2012
Tea Party Nation,Franklin,Tennessee,,General Hate,,,2012
Tennessee Freedom Coalition,Nashville,Tennessee,,Anti-Muslim,,,2012
The Pray in Jesus Name Project,Colorado Springs,Colorado,,Anti-LGBTQ,,,2012
Third Reich Books,Lincoln,Nebraska,,Neo-Nazi,,,2012
Tightrope,Calico Rock,Arkansas,,Hate Music,,,2012
Tom Brown Ministries,El Paso,Texas,,Anti-LGBTQ,,,2012
Tony Alamo Christian Ministries,Canyon Country,California,,General Hate,,,2012
Tony Alamo Christian Ministries,Fort Smith,Arkansas,,General Hate,,,2012
Tony Alamo Christian Ministries,New York,New York,,General Hate,,,2012
Tony Alamo Christian Ministries,Texarkana,Texas,,General Hate,,,2012
Tony Alamo Christian Ministries,Fouke,Arkansas,,General Hate,,,2012
Torah Jews for Decency,Monsey,New York,,Anti-LGBTQ,,,2012
Tradition in Action,Los Angeles,California,,Radical Traditional Catholicism,,,2012
Traditional Values Coalition,Washington,District of Columbia,,Anti-LGBTQ,,,2012
Traditional Values Coalition,Anaheim,California,,Anti-LGBTQ,,,2012
True Invisible Empire Knights of the KKK,Park Hills,Missouri,,Ku Klux Klan,,,2012
True Invisible Empire Traditionalist American Knights of the KKK,La Vergne,Tennessee,,Ku Klux Klan,,,2012
True Invisible Empire Traditionalist American Knights of the KKK,,South Dakota,,Ku Klux Klan,,Yes,2012
True Invisible Empire Traditionalist American Knights of the KKK,Potosi,Missouri,,Ku Klux Klan,,,2012
True Light Pentecost Church,Spartanburg,South Carolina,,Anti-LGBTQ,,,2012
True White Knights of the Christian Cross,Gaylesville,Alabama,,Ku Klux Klan,,,2012
D. James Kennedy Ministries (formerly Truth in Action),Ft. Lauderdale,Florida,,Anti-LGBTQ,,,2012
Truth Triumphant,Eustis,Florida,,General Hate,,,2012
United Families International,Gilbert,Arizona,,Anti-LGBTQ,,,2012
United for a Sovereign America (USA),Phoenix,Arizona,,Anti-Immigrant,,,2012
United Identity Church of Christ,Simms,Texas,,Christian Identity,,,2012
United Klans of America,Aiken,South Carolina,,Ku Klux Klan,,,2012
United Klans of America,Anniston,Alabama,,Ku Klux Klan,,,2012
United Klans of America,Atlanta,Georgia,,Ku Klux Klan,,,2012
United Klans of America,Birmingham,Alabama,,Ku Klux Klan,,,2012
United Klans of America,Clare,Michigan,,Ku Klux Klan,,,2012
United Klans of America,Clarkesville,Georgia,,Ku Klux Klan,,,2012
United Klans of America,Culpeper,Virginia,,Ku Klux Klan,,,2012
United Klans of America,Denton,Texas,,Ku Klux Klan,,,2012
United Klans of America,Dyersburg,Tennessee,,Ku Klux Klan,,,2012
United Klans of America,Eaton,Ohio,,Ku Klux Klan,,,2012
United Klans of America,Eufaula,Oklahoma,,Ku Klux Klan,,,2012
United Klans of America,Flint,Michigan,,Ku Klux Klan,,,2012
United Klans of America,Great Falls,Montana,,Ku Klux Klan,,,2012
United Klans of America,Joliet,Illinois,,Ku Klux Klan,,,2012
United Klans of America,Kalamazoo,Michigan,,Ku Klux Klan,,,2012
United Klans of America,Kirkland,Washington,,Ku Klux Klan,,,2012
United Klans of America,Lexington,Kentucky,,Ku Klux Klan,,,2012
United Klans of America,Longview,Texas,,Ku Klux Klan,,,2012
United Klans of America,Nashville,Tennessee,,Ku Klux Klan,,,2012
United Klans of America,Norfolk,Virginia,,Ku Klux Klan,,,2012
United Klans of America,Phoenix,Arizona,,Ku Klux Klan,,,2012
United Klans of America,Polson,Montana,,Ku Klux Klan,,,2012
United Klans of America,Pomona Park,Florida,,Ku Klux Klan,,,2012
United Klans of America,Providence,Rhode Island,,Ku Klux Klan,,,2012
United Klans of America,Richmond,Virginia,,Ku Klux Klan,,,2012
United Klans of America,Shelbyville,Tennessee,,Ku Klux Klan,,,2012
United Klans of America,South Hill,Virginia,,Ku Klux Klan,,,2012
United Klans of America,Tallahassee,Florida,,Ku Klux Klan,,,2012
United Klans of America,Waterloo,Iowa,,Ku Klux Klan,,,2012
United Klans of America,Yakima,Washington,,Ku Klux Klan,,,2012
United Klans of America,York,Pennsylvania,,Ku Klux Klan,,,2012
United Klans of America,Ashland,Alabama,,Ku Klux Klan,,,2012
United Nation of Nuwaupia (Nuwaubians),Atlanta,Georgia,,Black Separatist,,,2012
United Northern and Southern Knights of the KKK,Chicago,Illinois,,Ku Klux Klan,,,2012
United Northern and Southern Knights of the KKK,Kingsport,Tennessee,,Ku Klux Klan,,,2012
United Northern and Southern Knights of the KKK,Longmont,Colorado,,Ku Klux Klan,,,2012
United Northern and Southern Knights of the KKK,West College Corner,Indiana,,Ku Klux Klan,,,2012
United Northern and Southern Knights of the KKK,,Georgia,,Ku Klux Klan,,Yes,2012
United Northern and Southern Knights of the KKK,,North Carolina,,Ku Klux Klan,,Yes,2012
United Northern and Southern Knights of the KKK,Fraser,Michigan,,Ku Klux Klan,,,2012
United Patriots of America,Linden,New Jersey,,General Hate,,,2012
United Society of Aryan Skinheads,San Diego,California,,Racist Skinhead,,,2012
United States Defense League,Monroe,North Carolina,,Anti-Muslim,,,2012
United States Justice Foundation,Ramona,California,,Anti-Muslim,,,2012
The United West,Lake Worth,Florida,,Anti-Muslim,,,2012
United White Knights of the KKK,ArkLaTex Region,Texas,,Ku Klux Klan,,,2012
United White Knights of the KKK,Atoka,Oklahoma,,Ku Klux Klan,,,2012
United White Knights of the KKK,Beaumont,Texas,,Ku Klux Klan,,,2012
United White Knights of the KKK,Buffalo,Texas,,Ku Klux Klan,,,2012
United White Knights of the KKK,Corpus Christi,Texas,,Ku Klux Klan,,,2012
United White Knights of the KKK,Dallas,Texas,,Ku Klux Klan,,,2012
United White Knights of the KKK,Forney,Texas,,Ku Klux Klan,,,2012
United White Knights of the KKK,Fort Worth,Texas,,Ku Klux Klan,,,2012
United White Knights of the KKK,Gatesville,Texas,,Ku Klux Klan,,,2012
United White Knights of the KKK,Henryetta,Oklahoma,,Ku Klux Klan,,,2012
United White Knights of the KKK,Holdenville,Oklahoma,,Ku Klux Klan,,,2012
United White Knights of the KKK,Houston,Texas,,Ku Klux Klan,,,2012
United White Knights of the KKK,Lufkin,Texas,,Ku Klux Klan,,,2012
United White Knights of the KKK,Marshall,Texas,,Ku Klux Klan,,,2012
